designation,ruwe,non_single_star,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
Gaia DR3 1301426668952290560,1.8864645,3,12.376555,12.855879,11.735884
Gaia DR3 1303490486637569536,1.8448095,1,,,
Gaia DR3 1304298593324116480,1.8374283,1,,,
Gaia DR3 1303409118479924864,1.7994783,1,,,
Gaia DR3 1303467465612758784,1.7963195,1,,,
Gaia DR3 1325285689021879424,1.7469532,2,12.397782,12.952739,11.696171
Gaia DR3 1301474085391274240,1.726657,1,,,
Gaia DR3 1305897523749299712,1.6499256,1,,,
Gaia DR3 1304414866678979200,1.6322805,1,,,
Gaia DR3 1310983520941612928,1.6259168,1,,,
Gaia DR3 1304028968161111424,1.604563,1,,,
Gaia DR3 1303844078407910016,1.58607,1,11.935251,12.551751,11.189903
Gaia DR3 1312314995163371648,1.508533,1,,,
Gaia DR3 1317941161802524928,1.4922268,3,,,
Gaia DR3 1301268541140126592,1.4791099,1,,,
Gaia DR3 1304246538320430592,1.4748633,2,11.323335,11.629004,10.844746
Gaia DR3 1326614384400411008,1.4488097,2,,,
Gaia DR3 1305000356620687488,1.4470938,2,,,
Gaia DR3 1300870247349587200,1.4458125,3,,,
Gaia DR3 1305711878082288000,1.4312317,2,,,
Gaia DR3 1303371705021797248,1.4191389,2,,,
Gaia DR3 1311730536012868096,1.4084269,1,,,
Gaia DR3 1305883092659120768,1.4037943,1,13.217156,13.765084,12.521998
Gaia DR3 1304321369533859584,1.3872725,2,,,
Gaia DR3 1312684671587761664,1.3787962,2,,,
Gaia DR3 1310867522464786176,1.3561914,2,,,
Gaia DR3 1326392076892804224,1.3150138,2,,,
Gaia DR3 1301071423617768448,1.2933421,2,,,
Gaia DR3 1312369558427811712,1.2915361,2,12.731486,13.335075,11.991035
Gaia DR3 1304129921368534784,1.2802731,2,,,
Gaia DR3 1303410394087365504,1.2410752,2,,,
Gaia DR3 1304884117625432576,1.2355307,2,,,
Gaia DR3 1311757267889447680,1.1783023,2,11.392321,11.901259,10.731076
Gaia DR3 1311077116869122560,1.1708982,2,,,
Gaia DR3 1302563495256280576,1.1562743,2,,,
Gaia DR3 1329183358958814208,1.1514915,2,,,
Gaia DR3 1317492148741358464,1.1392764,2,11.508897,12.093836,10.78774
Gaia DR3 1305239740917742976,1.1376715,2,,,
Gaia DR3 1305808222789094144,1.1372255,2,,,
Gaia DR3 1325548236078821376,1.1360487,2,,,
Gaia DR3 1310869034293288832,1.1339585,2,12.5020685,13.117296,11.752994
Gaia DR3 1300879142224689664,1.130976,2,,,
Gaia DR3 1325348743437253760,1.1300257,2,,,
Gaia DR3 1305751357421836416,1.128253,2,,,
Gaia DR3 1303975543064254208,1.1115007,2,9.628305,10.238411,8.882991
Gaia DR3 1326443788299181696,1.0851862,2,,,
Gaia DR3 1304450738245737728,1.0681179,2,,,
Gaia DR3 1324341930087266176,1.0646893,2,,,
Gaia DR3 1318162301078272128,1.0636889,2,,,
Gaia DR3 1301281739576258944,1.0466183,2,,,
Gaia DR3 1325534213008912896,1.0294539,2,,,
Gaia DR3 1325935161092278016,1.0227811,2,,,
Gaia DR3 1304018836334559232,1.0110172,2,,,
Gaia DR3 1304162391321185280,0.9620178,2,,,
Gaia DR3 1305651233144126080,0.9532087,2,,,
Gaia DR3 1326006526268921472,0.88283,2,,,
