target_id,source_id,ra,dec,RUWE,non_single_star
2MASS J08340829-2054073,5703559652460873984,128.5345875,-20.90209947,0.9906941,0
2MASS J08341165-2046019,5703609955117808256,128.5485184,-20.76723713,1.015567,0
2MASS J08341165-2046019,5703609955119112832,128.547599,-20.76709698,2.3447986,0
2MASS J08341165-2046019,5703609955118281216,128.5472283,-20.76673679,1.2452506,0
2MASS J08341283-2015547,5703665102497768704,128.5534787,-20.26528325,0.91532075,0
2MASS J08341342-2051003,5703560266638873856,128.5559185,-20.85009274,1.0098153,0
2MASS J08341920-2035068,5703638675561795200,128.5800047,-20.58524092,0.9559309,0
2MASS J08341967-2057116,5703558346790810880,128.5819527,-20.95323244,1.0332108,0
2MASS J08341998-2048551,5703608821246442240,128.583258,-20.81532258,4.848528,0
2MASS J08342651-2027023,5703653037932417664,128.6105386,-20.45060973,1.1327538,0
2MASS J08342691-2037197,5703637580347404160,128.612123,-20.6221582,0.99387276,0
2MASS J08343072-2026076,5703653454546478720,128.6279631,-20.43545166,1.0376589,0
2MASS J08343237-2039170,5703634522330689536,128.6348795,-20.65470892,1.0485529,0
2MASS J08343237-2039170,5703634522328130944,128.635295,-20.65502705,1.1921355,0
2MASS J08343579-2016359,5703664479727351296,128.6491239,-20.27663804,0.9979435,0
2MASS J08343602-2054461,5703558930906333184,128.6499866,-20.91276409,0.97296125,0
2MASS J08343773-2041329,5703633384162100608,128.657209,-20.69246211,1.0395111,0
2MASS J08343893-2020390,5703660670091500672,128.6622373,-20.34416684,1.0122108,0
2MASS J08343924-2059116,5703555116975694336,128.6634788,-20.98657716,0.9971898,0
2MASS J08343924-2059116,5703555116973548416,128.6636481,-20.98544157,1.0519086,0
2MASS J08344205-2028480,5703641359918567424,128.6752283,-20.4799877,0.9505269,0
2MASS J08344493-2059058,5703554739018567936,128.6872011,-20.9849804,0.9177741,0
2MASS J08344923-2055307,5703557212919718912,128.7051287,-20.92523921,1.0474557,0
2MASS J08345249-2039210,5703633972574844800,128.7186723,-20.6558395,0.92207384,0
2MASS J08345319-2026466,5703647338513020672,128.7216302,-20.44631025,1.0883845,0
2MASS J08345402-2056053,5703556388285994496,128.72511,-20.93481043,1.0362678,0
2MASS J08350220-2037544,5703635312604623232,128.7591816,-20.6317956,1.522802,0
2MASS J08350479-2039118,5703635205228228480,128.7699638,-20.65328862,0.9307727,0
2MASS J08350785-2042121,5703586453056674176,128.7827365,-20.70338324,1.0795789,0
2MASS J08351453-2025370,5703646960555861760,128.810514,-20.4269771,1.0322394,0
2MASS J08351559-2052058,5703580573244250752,128.8149598,-20.86829281,1.1459765,2
2MASS J08351668-2048222,5703581780132266880,128.8194936,-20.80618025,0.97078365,0
2MASS J08352535-2055023,5703544946493085952,128.8556466,-20.917415,1.0395422,0
2MASS J08352980-2030481,5703642631228826880,128.8742437,-20.5134514,1.1444132,0
2MASS J08352980-2030481,5703642631226153600,128.8727476,-20.51368662,1.0691513,0
2MASS J08353222-2059001,5703543709542509568,128.8842854,-20.98341764,1.3902324,2
2MASS J08353664-2042480,5703583974858330240,128.9026471,-20.71335939,0.9805558,0
2MASS J08353666-2031465,5703642386413532032,128.9024901,-20.52920514,1.0794256,0
2MASS J08353880-2029321,5703642592571958400,128.9116549,-20.49224271,0.9980555,0
2MASS J08353880-2029321,5703642596869066752,128.9120014,-20.49103301,1.0842291,0
2MASS J08354359-2044500,5703582948363321728,128.9316275,-20.74725784,0.9800378,0
2MASS J08354523-2051073,5703569101389134720,128.9384393,-20.85202843,0.99024576,0
2MASS J08355473-2058421,5703564149288615552,128.9780023,-20.97835461,1.901912,0
2MASS J08355771-2004513,5703759346964387968,128.9904582,-20.08079911,0.98111564,0
2MASS J08355804-2039263,5703590335707024512,128.9918153,-20.65735687,1.1344424,0
